File	:{'Rule': 1}
rb_dcdi_ClearDiagnosticInformation_Cfg.h	:{'PRE00': 1}
rb_dem_CustFaultMgt_Cfg.h	:{'PRE00': 3, 'PRE01': 1, 'PRE02': 2}
rb_sycp_CustSysConfPs_Cfg.h	:{'PRE00': 1, 'PRE12': 1}
rb_coec_CustEmergencyCall.h	:{'PRE00': 1, 'PRE01': 1, 'PRE02': 4}
rba_FlsRH850P1xC_cfg.h	:{'PRE02': 1, 'PRE06': 1}
rb_kms_CustKeyMgmtSystem_Cfg.h	:{'PRE02': 5}
rb_wimi_PAOx_Cfg.h	:{'PRE02': 2}
rb_eol_CustEndOfLine_InterfacesStaticDefinitions.h	:{'PRE02': 43}
rb_dcbm_CustBufferManager.h	:{'PRE02': 2}
Dem_Cfg_Nvm.h	:{'PRE03': 2}
Eep_Cfg.h	:{'PRE03': 2}
Fls_Cfg.h	:{'PRE03': 2}
rba_FlsRH850P1xC_Ext.h	:{'PRE06': 1}
Bsw_MemMap.h	:{'PRE06': 1}
Dcm_MemMap.h	:{'PRE06': 1}
Det_MemMap.h	:{'PRE06': 1}
rba_BswSrv_MemMap.h	:{'PRE06': 1}
rba_DemIndiLitePS_Cfg_MemMap.h	:{'PRE06': 1}
Rte_Type.h	:{'PRE06': 1}
rba_BCL_Core_MemMap.h	:{'PRE06': 1}
rb_ab12_checksums_cfg.h	:{'PRE06': 1}
rb_svr_SafetyVoltageRegulator_Cfg.h	:{'PRE08': 1}
rb_fcir_FourCalcIn_RomCfg_1.c	:{'PRE08': 1}
rb_fcir_FourCalcIn_RomCfg_2.c	:{'PRE08': 1}
rb_fcir_FourCalcIn_RomCfg_3.c	:{'PRE08': 1}
rb_fcir_FourCalcIn_RomCfg_4.c	:{'PRE08': 1}
rb_wim_WarningIndicatorMgt_Cfg.c	:{'PRE08': 1}
rb_wimi_PAOx_Cfg.c	:{'PRE08': 1, 'STR34': 2}
rb_swmf_CustSwitchMgtFaultHandler.c	:{'STR09': 1, 'STR34': 8}
